conf_upper,min_rules,min_score,overrides,accuracy,precision,recall,f1_score,roc_auc
0.65,1,1.6,7,0.9701492537313433,0.9568627450980393,0.9910641754670999,0.9736632083000799,0.9960393905734511
0.65,1,2.0,7,0.9701492537313433,0.9568627450980393,0.9910641754670999,0.9736632083000799,0.9960393905734511
0.65,2,0.8,7,0.9701492537313433,0.9568627450980393,0.9910641754670999,0.9736632083000799,0.9960393905734511
0.65,2,1.2,7,0.9701492537313433,0.9568627450980393,0.9910641754670999,0.9736632083000799,0.9960393905734511
0.65,2,1.6,7,0.9701492537313433,0.9568627450980393,0.9910641754670999,0.9736632083000799,0.9960393905734511
0.65,2,2.0,7,0.9701492537313433,0.9568627450980393,0.9910641754670999,0.9736632083000799,0.9960393905734511
0.7,1,1.2,8,0.9696969696969697,0.9561128526645768,0.9910641754670999,0.9732748304746709,0.9960393905734511
0.7,1,1.6,8,0.9696969696969697,0.9561128526645768,0.9910641754670999,0.9732748304746709,0.9960393905734511
0.7,1,2.0,8,0.9696969696969697,0.9561128526645768,0.9910641754670999,0.9732748304746709,0.9960393905734511
0.7,2,0.8,8,0.9696969696969697,0.9561128526645768,0.9910641754670999,0.9732748304746709,0.9960393905734511
0.7,2,1.2,8,0.9696969696969697,0.9561128526645768,0.9910641754670999,0.9732748304746709,0.9960393905734511
0.7,2,1.6,8,0.9696969696969697,0.9561128526645768,0.9910641754670999,0.9732748304746709,0.9960393905734511
0.7,2,2.0,8,0.9696969696969697,0.9561128526645768,0.9910641754670999,0.9732748304746709,0.9960393905734511
0.75,1,1.2,11,0.9692446856625961,0.9546520719311963,0.991876523151909,0.9729083665338646,0.9960393905734511
0.75,1,1.6,11,0.9692446856625961,0.9546520719311963,0.991876523151909,0.9729083665338646,0.9960393905734511
0.75,1,2.0,11,0.9692446856625961,0.9546520719311963,0.991876523151909,0.9729083665338646,0.9960393905734511
0.75,2,0.8,11,0.9692446856625961,0.9546520719311963,0.991876523151909,0.9729083665338646,0.9960393905734511
0.75,2,1.2,11,0.9692446856625961,0.9546520719311963,0.991876523151909,0.9729083665338646,0.9960393905734511
0.75,2,1.6,11,0.9692446856625961,0.9546520719311963,0.991876523151909,0.9729083665338646,0.9960393905734511
0.75,2,2.0,11,0.9692446856625961,0.9546520719311963,0.991876523151909,0.9729083665338646,0.9960393905734511
0.6,1,0.8,12,0.9687924016282226,0.95390625,0.991876523151909,0.9725209080047789,0.9960393905734511
0.8,1,1.2,17,0.9674355495251018,0.9509727626459143,0.9926888708367181,0.971383147853736,0.9960393905734511
0.8,1,1.6,17,0.9674355495251018,0.9509727626459143,0.9926888708367181,0.971383147853736,0.9960393905734511
0.8,1,2.0,17,0.9674355495251018,0.9509727626459143,0.9926888708367181,0.971383147853736,0.9960393905734511
0.8,2,0.8,17,0.9674355495251018,0.9509727626459143,0.9926888708367181,0.971383147853736,0.9960393905734511
0.8,2,1.2,17,0.9674355495251018,0.9509727626459143,0.9926888708367181,0.971383147853736,0.9960393905734511
0.8,2,1.6,17,0.9674355495251018,0.9509727626459143,0.9926888708367181,0.971383147853736,0.9960393905734511
0.8,2,2.0,17,0.9674355495251018,0.9509727626459143,0.9926888708367181,0.971383147853736,0.9960393905734511
0.65,1,0.8,15,0.9674355495251018,0.9516757599376462,0.991876523151909,0.9713603818615751,0.9960393905734511
0.7,1,0.8,21,0.9665309814563546,0.9487975174553918,0.9935012185215272,0.9706349206349205,0.9960393905734511
0.75,1,0.8,30,0.9642695612844867,0.9437596302003082,0.9951259138911455,0.9687623566627125,0.9960393905734511
0.8,1,0.8,38,0.9615558570782451,0.9387442572741195,0.9959382615759546,0.966495861253449,0.9960393905734511
